date,SP500
01/01/2012,1312.41
01/02/2012,1365.68
01/03/2012,1408.47
01/04/2012,1397.91
01/05/2012,1310.33
01/06/2012,1362.16
01/07/2012,1379.32
01/08/2012,1406.58
01/09/2012,1440.67
01/10/2012,1412.16
01/11/2012,1416.18
01/12/2012,1426.19
01/01/2013,1498.11
01/02/2013,1514.68
01/03/2013,1569.19
01/04/2013,1597.57
01/05/2013,1630.74
01/06/2013,1606.28
01/07/2013,1685.73
01/08/2013,1632.97
01/09/2013,1681.55
01/10/2013,1756.54
01/11/2013,1805.81
01/12/2013,1848.36
01/01/2014,1782.59
01/02/2014,1859.45
01/03/2014,1872.34
01/04/2014,1883.95
01/05/2014,1923.57
01/06/2014,1960.23
01/07/2014,1930.67
01/08/2014,2003.37
01/09/2014,1972.29
01/10/2014,2018.05
01/11/2014,2067.56
01/12/2014,2058.9
01/01/2015,1994.99
01/02/2015,2104.5
01/03/2015,2067.89
01/04/2015,2085.51
01/05/2015,2107.39
01/06/2015,2063.11
01/07/2015,2103.84
01/08/2015,1972.18
01/09/2015,1920.03
01/10/2015,2079.36
01/11/2015,2080.41
01/12/2015,2043.94
01/01/2016,1940.24
01/02/2016,1932.23
01/03/2016,2059.74
01/04/2016,2065.3
01/05/2016,2096.96
01/06/2016,2098.86
01/07/2016,2173.6
01/08/2016,2170.95
01/09/2016,2168.27
01/10/2016,2126.15
01/11/2016,2198.81
01/12/2016,2238.83
01/01/2017,2278.87
01/02/2017,2363.64
01/03/2017,2362.72
01/04/2017,2384.2
01/05/2017,2411.8
01/06/2017,2423.41
01/07/2017,2470.3
01/08/2017,2471.65
01/09/2017,2519.36
01/10/2017,2575.26
01/11/2017,2647.58
01/12/2017,2673.61
01/01/2018,2823.81
01/02/2018,2713.83
01/03/2018,2640.87
01/04/2018,2648.05
01/05/2018,2705.27
01/06/2018,2718.37
01/07/2018,2816.29
01/08/2018,2901.52
01/09/2018,2913.98
01/10/2018,2711.74
01/11/2018,2760.17
01/12/2018,2506.85
01/01/2019,2704.1
01/02/2019,2784.49
01/03/2019,2834.4
01/04/2019,2945.83
01/05/2019,2752.06
01/06/2019,2941.76
01/07/2019,2980.38
01/08/2019,2926.46
01/09/2019,2976.74
01/10/2019,3037.56
01/11/2019,3140.98
01/12/2019,3230.78
01/01/2020,3225.52
01/02/2020,2954.22
01/03/2020,2584.59
01/04/2020,2912.43
01/05/2020,3044.31
01/06/2020,3100.29
01/07/2020,3271.12
01/08/2020,3500.31
01/09/2020,3363
01/10/2020,3269.96
01/11/2020,3621.63
01/12/2020,3756.07
01/01/2021,3714.24
01/02/2021,3811.15
01/03/2021,3972.89
01/04/2021,4181.17
01/05/2021,4204.11
01/06/2021,4297.5
01/07/2021,4395.26
01/08/2021,4522.68
01/09/2021,4307.54
01/10/2021,4605.38
01/11/2021,4567
01/12/2021,4725.79
